철도운영기관명,선명,역명,승강장번호,상하행,지상구분,역층,승강장연결 여부,스크린도어 유무,안전발판 유무
공항철도주식회사,공항,검암,1,하행,지상,2,Y,Y,Y
공항철도주식회사,공항,검암,2,상행,지상,2,Y,Y,Y
공항철도주식회사,공항,계양,1,하행,지상,2,Y,Y,Y
공항철도주식회사,공항,계양,2,상행,지상,2,Y,Y,Y
공항철도주식회사,공항,공덕,1,하행,지하,5,Y,Y,N
공항철도주식회사,공항,공덕,2,상행,지하,5,Y,Y,N
공항철도주식회사,공항,공항화물청사,1,하행,지하,2,Y,Y,N
공항철도주식회사,공항,공항화물청사,2,상행,지하,2,Y,Y,N
공항철도주식회사,공항,김포공항,1,상행,지하,3,Y,Y,N
공항철도주식회사,공항,김포공항,2,하행,지하,4,Y,Y,N
공항철도주식회사,공항,디지털미디어시티,1,하행,지하,3,N,Y,N
공항철도주식회사,공항,디지털미디어시티,2,상행,지하,3,N,Y,N
공항철도주식회사,공항,디지털미디어시티,3,하행,지하,3,N,Y,N
공항철도주식회사,공항,디지털미디어시티,4,상행,지하,3,N,Y,N
공항철도주식회사,공항,마곡나루,1,하행,지하,2,Y,Y,N
공항철도주식회사,공항,마곡나루,2,상행,지하,2,Y,Y,N
공항철도주식회사,공항,서울역,1,하행,지하,7,Y,Y,N
공항철도주식회사,공항,서울역,2,상행,지하,7,Y,Y,N
공항철도주식회사,공항,서울역,3,하행,지하,7,Y,Y,N
공항철도주식회사,공항,영종,1,하행,지상,1,Y,Y,Y
공항철도주식회사,공항,영종,2,상행,지상,1,Y,Y,Y
공항철도주식회사,공항,운서,1,하행,지상,2,Y,Y,Y
공항철도주식회사,공항,운서,2,상행,지상,2,Y,Y,Y
공항철도주식회사,공항,인천공항1터미널,1,상행,지하,4,Y,Y,N
공항철도주식회사,공항,인천공항1터미널,2,하행,지하,4,Y,Y,N
공항철도주식회사,공항,인천공항2터미널,1,상행,지하,3,Y,Y,Y
공항철도주식회사,공항,인천공항2터미널,2,하행,지하,3,Y,Y,Y
공항철도주식회사,공항,인천공항2터미널,3,하행,지하,3,Y,Y,Y
공항철도주식회사,공항,청라국제도시,1,상행,지상,1,Y,Y,Y
공항철도주식회사,공항,청라국제도시,2,하행,지상,1,Y,Y,Y
공항철도주식회사,공항,홍대입구,1,하행,지하,4,Y,Y,N
공항철도주식회사,공항,홍대입구,2,상행,지하,4,Y,Y,Y
