연번,호선,역번호,역명,소요시간(분),역간거리(km),호선별누계(km)
1,1,95,다대포해수욕장,00:00,0,0
2,1,96,다대포항,02:15,1.5,1.5
3,1,97,낫개,01:45,1.1,2.6
4,1,98,신장림,01:55,1.2,3.8
5,1,99,장림,01:15,0.8,4.6
6,1,100,동매,02:05,1.1,5.7
7,1,101,신평,02:45,1.7,7.4
8,1,102,하단,02:25,1.6,9
9,1,103,당리,01:15,0.8,9.8
10,1,104,사하,01:30,0.9,10.7
11,1,105,괴정,01:20,0.9,11.6
12,1,106,대티,01:10,0.8,12.4
13,1,107,서대신,01:50,1.4,13.8
14,1,108,동대신,02:05,0.7,14.5
15,1,109,토성,02:00,1.2,15.7
16,1,110,자갈치,01:50,1,16.7
17,1,111,남포,01:10,0.7,17.4
18,1,112,중앙,01:25,0.9,18.3
19,1,113,부산역,01:25,1.1,19.4
20,1,114,초량,01:10,0.8,20.2
21,1,115,부산진,01:10,0.8,21
22,1,116,좌천,01:15,1,22
23,1,117,범일,01:25,0.9,22.9
24,1,118,범내골,01:05,0.8,23.7
25,1,119,서면,01:35,1.2,24.9
26,1,120,부전,01:05,0.6,25.5
27,1,121,양정,01:40,1.4,26.9
28,1,122,시청,01:10,0.9,27.8
29,1,123,연산,01:20,0.8,28.6
30,1,124,교대,01:30,1.1,29.7
31,1,125,동래,01:30,1.1,30.8
32,1,126,명륜,01:10,0.8,31.6
33,1,127,온천장,01:25,1.1,32.7
34,1,128,부산대,01:30,1.1,33.8
35,1,129,장전,01:20,0.9,34.7
36,1,130,구서,01:30,1.1,35.8
37,1,131,두실,01:30,1.1,36.9
38,1,132,남산,01:20,0.9,37.8
39,1,133,범어사,01:25,0.9,38.7
40,1,134,노포,02:10,1.2,39.9
41,2,201,장산,00:00,0,0
42,2,202,중동,01:30,0.9,0.9
43,2,203,해운대,01:20,1,1.9
44,2,204,동백,01:40,1.1,3
45,2,205,벡스코,01:35,1.1,4.1
46,2,206,센텀시티,01:20,0.8,4.9
47,2,207,민락,01:40,1,5.9
48,2,208,수영,02:15,0.9,6.8
49,2,209,광안,01:15,0.9,7.7
50,2,210,금련산,01:15,0.9,8.6
51,2,211,남천,01:30,0.9,9.5
52,2,212,경성대.부경대,01:15,0.8,10.3
53,2,213,대연,01:15,0.9,11.2
54,2,214,못골,01:10,0.7,11.9
55,2,215,지게골,01:25,0.9,12.8
56,2,216,문현,01:30,0.9,13.7
57,2,217,국제금융센터.부산은행,01:20,0.7,14.4
58,2,218,전포,01:20,0.8,15.2
59,2,219,서면,01:55,1.1,16.3
60,2,220,부암,01:25,0.8,17.1
61,2,221,가야,01:15,0.7,17.8
62,2,222,동의대,01:20,0.9,18.7
63,2,223,개금,01:35,1.1,19.8
64,2,224,냉정,01:25,0.8,20.6
65,2,225,주례,01:20,0.8,21.4
66,2,226,감전,01:45,1.2,22.6
67,2,227,사상,01:45,1.1,23.7
68,2,228,덕포,01:50,1.2,24.9
69,2,229,모덕,01:15,0.8,25.7
70,2,230,모라,01:30,1.1,26.8
71,2,231,구남,01:35,1,27.8
72,2,232,구명,01:15,0.8,28.6
73,2,233,덕천,02:05,1.2,29.8
74,2,234,수정,02:05,1.5,31.3
75,2,235,화명,02:10,1.5,32.8
76,2,236,율리,01:35,1.2,34
77,2,237,동원,01:45,1.4,35.4
78,2,238,금곡,01:30,1.1,36.5
79,2,239,호포,02:25,1.5,38
80,2,240,증산,04:10,3.5,41.5
81,2,241,부산대양산캠퍼스,01:35,1,42.5
82,2,242,남양산,01:40,1.1,43.6
83,2,243,양산,02:15,1.6,45.2
84,3,301,수영,00:00,0,0
85,3,302,망미,02:00,1,1
86,3,303,배산,01:35,1.2,2.2
87,3,304,물만골,01:55,1.1,3.3
88,3,305,연산,01:35,1.1,4.4
89,3,306,거제,01:15,0.7,5.1
90,3,307,종합운동장,01:15,0.7,5.8
91,3,308,사직,01:25,0.8,6.6
92,3,309,미남,01:35,0.8,7.4
93,3,310,만덕,04:00,3.3,10.7
94,3,311,남산정,01:40,1.2,11.9
95,3,312,숙등,01:25,1,12.9
96,3,313,덕천,01:10,0.7,13.6
97,3,314,구포,01:45,1,14.6
98,3,315,강서구청,02:25,1.6,16.2
99,3,316,체육공원,01:35,1.1,17.3
100,3,317,대저,01:25,0.8,18.1
101,4,401,미남,00:00,0,0
102,4,402,동래,01:45,1.1,1.1
103,4,403,수안,01:10,0.6,1.7
104,4,404,낙민,01:10,0.7,2.4
105,4,405,충렬사,01:20,0.7,3.1
106,4,406,명장,01:15,0.7,3.8
107,4,407,서동,01:55,1.1,4.9
108,4,408,금사,01:20,0.8,5.7
109,4,409,반여농산물시장,01:20,0.8,6.5
110,4,410,석대,01:45,1.2,7.7
111,4,411,영산대,02:05,1.3,9
112,4,412,윗반송,01:45,1.2,10.2
113,4,413,고촌,01:25,0.7,10.9
114,4,414,안평,01:45,1.1,12
